SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-35.941	-35.883	-35.807	-35.807	-35.807	-35.807	-35.762	-35.848	-35.726	-35.807	-35.835	-35.807	-35.725	-35.924	-35.799	-35.725	-35.764	-35.815	-35.762	-35.762	-35.848	-35.725	-35.834	-35.849	-35.848	-35.845	-35.888	-35.763	-35.848	-35.849	-35.714	-35.883	140.069	140.116	140.150	140.150	140.150	140.184	140.115	140.148	140.114	140.150	140.083	140.150	140.149	140.184	140.150	140.147	140.045	140.148	140.186	140.186	140.114	140.147	140.154	140.078	140.114	140.081	140.112	140.149	140.114	140.114	140.118	140.152	104.394	104.367	104.335	104.335	104.335	104.331	104.321	104.350	104.307	104.335	104.352	104.335	104.303	104.376	104.331	104.304	104.328	104.338	104.314	104.314	104.354	104.304	104.345	104.358	104.354	104.356	104.369	104.318	104.354	104.354	104.302	104.363	2016_7_15_9_00_49
F2LS3GSUHFM5____	-36.253	-36.159	-36.159	-36.159	-36.159	-36.158	-36.075	-36.202	-36.001	-36.159	-36.112	-36.159	-36.041	-36.200	-36.076	-36.038	-36.037	-36.087	-36.076	-36.076	-36.122	-36.038	-36.113	-36.123	-36.122	-36.123	-36.203	-36.076	-36.122	-36.123	-36.023	-36.160	140.081	140.123	140.119	140.119	140.119	140.156	140.126	140.116	140.128	140.119	140.090	140.119	140.164	140.189	140.162	140.163	140.055	140.156	140.193	140.193	140.123	140.163	140.158	140.086	140.123	140.086	140.080	140.161	140.123	140.120	140.124	140.162	104.349	104.309	104.309	104.309	104.309	104.305	104.276	104.326	104.248	104.309	104.294	104.309	104.259	104.318	104.273	104.258	104.268	104.278	104.270	104.270	104.295	104.258	104.288	104.298	104.295	104.298	104.330	104.273	104.295	104.295	104.256	104.305	2016_7_15_9_00_53
F2LS3GZKHFM5____	-35.995	-35.907	-35.869	-35.869	-35.869	-35.869	-35.859	-35.910	-35.786	-35.869	-35.859	-35.869	-35.786	-35.946	-35.820	-35.786	-35.812	-35.834	-35.820	-35.820	-35.870	-35.786	-35.858	-35.870	-35.870	-35.870	-35.910	-35.821	-35.870	-35.870	-35.777	-35.942	140.140	140.184	140.219	140.219	140.219	140.254	140.190	140.219	140.185	140.219	140.152	140.219	140.224	140.256	140.223	140.219	140.108	140.220	140.257	140.257	140.183	140.219	140.223	140.146	140.183	140.145	140.184	140.221	140.183	140.184	140.178	140.224	104.370	104.331	104.314	104.314	104.314	104.310	104.312	104.329	104.285	104.314	104.316	104.314	104.281	104.339	104.294	104.282	104.302	104.300	104.291	104.291	104.317	104.282	104.309	104.321	104.317	104.321	104.333	104.295	104.317	104.317	104.282	104.341	2016_7_15_9_00_57
F2LS3HTSHFM5____	-36.186	-36.131	-36.060	-36.060	-36.060	-36.060	-36.019	-36.097	-35.944	-36.060	-36.056	-36.060	-35.981	-36.130	-36.018	-35.982	-36.022	-36.027	-36.017	-36.017	-36.062	-35.982	-36.056	-36.063	-36.062	-36.062	-36.097	-36.020	-36.062	-36.062	-35.975	-36.096	140.046	140.058	140.090	140.090	140.090	140.161	140.088	140.128	140.085	140.090	140.022	140.090	140.125	140.126	140.124	140.121	140.019	140.128	140.159	140.159	140.057	140.121	140.125	140.022	140.057	140.021	140.091	140.122	140.057	140.054	140.058	140.130	104.479	104.456	104.426	104.426	104.426	104.419	104.411	104.436	104.382	104.426	104.431	104.426	104.392	104.449	104.407	104.393	104.419	104.410	104.403	104.403	104.430	104.393	104.421	104.434	104.430	104.434	104.440	104.407	104.430	104.430	104.396	104.436	2016_7_15_9_01_00
F2LS3J5VHFM5____	-36.186	-36.131	-36.060	-36.060	-36.060	-36.060	-36.019	-36.097	-35.944	-36.060	-36.056	-36.060	-35.981	-36.130	-36.018	-35.982	-36.022	-36.027	-36.017	-36.017	-36.062	-35.982	-36.056	-36.063	-36.062	-36.062	-36.097	-36.020	-36.062	-36.062	-35.975	-36.096	140.046	140.058	140.090	140.090	140.090	140.161	140.088	140.128	140.085	140.090	140.022	140.090	140.125	140.126	140.124	140.121	140.019	140.128	140.159	140.159	140.057	140.121	140.125	140.022	140.057	140.021	140.091	140.122	140.057	140.054	140.058	140.130	104.479	104.456	104.426	104.426	104.426	104.419	104.411	104.436	104.382	104.426	104.431	104.426	104.392	104.449	104.407	104.393	104.419	104.410	104.403	104.403	104.430	104.393	104.421	104.434	104.430	104.434	104.440	104.407	104.430	104.430	104.396	104.436	2016_7_15_9_01_04
F2LS3JECHFM5____	-36.477	-36.376	-36.340	-36.340	-36.340	-36.340	-36.301	-36.388	-36.266	-36.340	-36.337	-36.340	-36.264	-36.424	-36.304	-36.266	-36.300	-36.306	-36.303	-36.303	-36.340	-36.266	-36.337	-36.345	-36.340	-36.340	-36.389	-36.303	-36.340	-36.340	-36.250	-36.380	140.035	140.044	140.075	140.075	140.075	140.112	140.082	140.112	140.081	140.075	140.015	140.075	140.088	140.148	140.120	140.116	139.983	140.112	140.150	140.150	140.044	140.116	140.086	140.041	140.044	140.015	140.077	140.117	140.044	140.043	140.049	140.115	104.813	104.773	104.756	104.756	104.756	104.753	104.741	104.771	104.727	104.756	104.761	104.756	104.726	104.781	104.738	104.724	104.750	104.740	104.735	104.735	104.759	104.724	104.754	104.762	104.759	104.762	104.775	104.738	104.759	104.760	104.724	104.768	2016_7_15_9_01_08
F2LS3JHAHFM5____	-36.186	-36.099	-36.062	-36.062	-36.062	-36.062	-36.025	-36.098	-35.990	-36.062	-36.063	-36.062	-35.988	-36.133	-36.024	-35.990	-36.027	-36.027	-36.024	-36.024	-36.064	-35.990	-36.061	-36.064	-36.064	-36.065	-36.097	-36.026	-36.064	-36.064	-35.982	-36.099	140.073	140.113	140.149	140.149	140.149	140.184	140.108	140.146	140.109	140.149	140.074	140.149	140.148	140.182	140.144	140.145	140.038	140.147	140.178	140.178	140.111	140.145	140.144	140.075	140.111	140.074	140.110	140.144	140.111	140.115	140.113	140.149	104.366	104.328	104.311	104.311	104.311	104.308	104.301	104.325	104.287	104.311	104.318	104.311	104.283	104.335	104.297	104.284	104.308	104.297	104.293	104.293	104.315	104.284	104.311	104.319	104.315	104.319	104.328	104.298	104.315	104.315	104.284	104.325	2016_7_15_9_01_12
F2LS3JJ8HFM5____	-36.498	-36.387	-36.347	-36.347	-36.347	-36.350	-36.303	-36.395	-36.267	-36.347	-36.340	-36.347	-36.269	-36.432	-36.305	-36.266	-36.303	-36.315	-36.304	-36.304	-36.352	-36.266	-36.342	-36.352	-36.352	-36.351	-36.396	-36.304	-36.352	-36.353	-36.251	-36.386	139.991	139.997	140.040	140.040	140.040	140.067	139.998	140.025	139.997	140.040	139.965	140.040	140.072	140.061	140.071	140.030	139.926	140.031	140.102	140.102	139.998	140.030	140.070	139.961	139.998	139.961	139.990	140.032	139.998	139.998	140.002	140.033	104.427	104.384	104.365	104.365	104.365	104.363	104.352	104.385	104.338	104.365	104.370	104.365	104.331	104.395	104.345	104.335	104.359	104.353	104.342	104.342	104.371	104.335	104.360	104.374	104.371	104.374	104.388	104.349	104.371	104.371	104.332	104.380	2016_7_15_9_01_16
F2LS3JTDHFM5____	-36.201	-36.097	-36.062	-36.062	-36.062	-36.061	-36.013	-36.106	-35.939	-36.062	-36.051	-36.062	-35.938	-36.141	-36.012	-35.975	-36.015	-36.027	-36.012	-36.012	-36.063	-35.975	-36.049	-36.063	-36.063	-36.061	-36.105	-36.013	-36.063	-36.064	-35.963	-36.096	140.069	140.104	140.141	140.141	140.141	140.175	140.102	140.135	140.100	140.141	140.070	140.141	140.138	140.172	140.139	140.134	140.032	140.141	140.173	140.173	140.104	140.134	140.141	140.067	140.104	140.064	140.099	140.137	140.104	140.106	140.110	140.139	104.498	104.455	104.437	104.437	104.437	104.434	104.422	104.455	104.394	104.437	104.440	104.437	104.390	104.464	104.418	104.405	104.430	104.424	104.415	104.415	104.442	104.405	104.432	104.445	104.442	104.444	104.458	104.419	104.442	104.441	104.402	104.451	2016_7_15_9_01_20
F2LS3KP7HFM5____	-36.265	-36.170	-36.131	-36.131	-36.131	-36.131	-36.088	-36.172	-36.051	-36.131	-36.124	-36.131	-36.050	-36.206	-36.088	-36.052	-36.089	-36.097	-36.088	-36.088	-36.132	-36.052	-36.125	-36.134	-36.132	-36.133	-36.172	-36.089	-36.132	-36.133	-36.034	-36.168	140.121	140.161	140.160	140.160	140.160	140.196	140.162	140.194	140.162	140.160	140.125	140.160	140.198	140.230	140.196	140.197	140.092	140.194	140.229	140.229	140.127	140.197	140.159	140.123	140.127	140.122	140.158	140.198	140.127	140.125	140.129	140.197	104.608	104.567	104.552	104.552	104.552	104.549	104.536	104.565	104.521	104.552	104.553	104.552	104.517	104.574	104.532	104.518	104.543	104.536	104.529	104.529	104.556	104.518	104.550	104.557	104.556	104.557	104.568	104.532	104.556	104.556	104.518	104.563	2016_7_15_9_01_24
