SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-23.355	-23.234	-23.283	-23.305	-23.406	-23.372	-23.337	-23.303	-23.337	-23.302	-23.305	-23.339	-23.269	-23.267	-23.272	-23.272	-23.262	-23.305	-23.269	-23.271	-23.339	-23.306	-23.339	-23.298	-23.263	-23.306	-23.306	-23.306	-23.235	-23.236	-23.234	-23.267	-138.465	-138.590	-138.605	-138.464	-138.683	-138.635	-138.603	-138.600	-138.615	-138.576	-138.511	-138.497	-138.580	-138.577	-138.510	-138.510	-138.498	-138.510	-138.544	-138.474	-138.497	-138.461	-138.497	-138.429	-138.465	-138.475	-138.544	-138.394	-138.495	-138.531	-138.462	-138.542	260.077	260.134	260.115	260.097	260.071	260.081	260.093	260.107	260.094	260.105	260.100	260.085	260.119	260.119	260.113	260.113	260.116	260.100	260.117	260.111	260.085	260.096	260.085	260.097	260.114	260.097	260.102	260.091	260.127	260.129	260.125	260.117	2016_7_15_16_09_15
F2LS3HQHHFM5____	-23.597	-23.492	-23.520	-23.534	-23.671	-23.636	-23.600	-23.564	-23.601	-23.566	-23.569	-23.601	-23.500	-23.532	-23.530	-23.530	-23.532	-23.566	-23.534	-23.531	-23.601	-23.567	-23.601	-23.567	-23.527	-23.568	-23.567	-23.568	-23.497	-23.497	-23.495	-23.533	-138.316	-138.441	-138.492	-138.318	-138.504	-138.460	-138.427	-138.450	-138.465	-138.424	-138.361	-138.349	-138.430	-138.426	-138.359	-138.359	-138.318	-138.360	-138.395	-138.347	-138.349	-138.287	-138.349	-138.250	-138.319	-138.326	-138.395	-138.247	-138.322	-138.357	-138.316	-138.392	259.960	260.011	260.003	259.986	259.944	259.955	259.967	259.983	259.969	259.980	259.975	259.961	260.007	259.994	259.990	259.990	259.987	259.976	259.991	259.989	259.961	259.971	259.961	259.968	259.989	259.973	259.978	259.967	260.001	260.004	260.001	259.991	2016_7_15_16_08_30
F2LS3EKPHFM2____	-23.337	-23.233	-23.265	-23.292	-23.371	-23.361	-23.327	-23.294	-23.328	-23.293	-23.294	-23.329	-23.260	-23.258	-23.259	-23.259	-23.262	-23.295	-23.232	-23.232	-23.329	-23.266	-23.329	-23.294	-23.258	-23.294	-23.294	-23.293	-23.198	-23.198	-23.195	-23.259	-138.389	-138.481	-138.530	-138.388	-138.575	-138.528	-138.494	-138.490	-138.502	-138.465	-138.425	-138.390	-138.464	-138.465	-138.423	-138.423	-138.389	-138.423	-138.429	-138.389	-138.390	-138.353	-138.390	-138.320	-138.355	-138.392	-138.433	-138.319	-138.389	-138.423	-138.354	-138.430	260.172	260.220	260.210	260.189	260.170	260.171	260.183	260.195	260.183	260.194	260.191	260.175	260.208	260.208	260.205	260.205	260.202	260.191	260.216	260.214	260.175	260.198	260.175	260.184	260.201	260.189	260.192	260.184	260.227	260.230	260.226	260.206	2016_7_15_16_08_33
F2LS3KLTHFM5____	-23.299	-23.176	-23.258	-23.250	-23.359	-23.380	-23.288	-23.253	-23.288	-23.310	-23.310	-23.345	-23.275	-23.275	-23.248	-23.248	-23.242	-23.282	-23.219	-23.250	-23.345	-23.284	-23.345	-23.278	-23.242	-23.310	-23.287	-23.282	-23.184	-23.214	-23.183	-23.250	-138.373	-138.465	-138.513	-138.373	-138.560	-138.530	-138.477	-138.478	-138.496	-138.460	-138.425	-138.460	-138.460	-138.460	-138.411	-138.411	-138.372	-138.411	-138.430	-138.373	-138.460	-138.337	-138.460	-138.303	-138.339	-138.460	-138.427	-138.303	-138.372	-138.410	-138.339	-138.425	260.089	260.144	260.115	260.108	260.077	260.067	260.100	260.114	260.101	260.090	260.088	260.076	260.104	260.104	260.112	260.112	260.112	260.098	260.125	260.108	260.076	260.092	260.076	260.092	260.109	260.090	260.097	260.091	260.135	260.125	260.133	260.112	2016_7_15_16_08_36
F2LS3SMLHFM5____	-23.498	-23.375	-23.437	-23.452	-23.549	-23.513	-23.476	-23.442	-23.478	-23.441	-23.447	-23.518	-23.408	-23.406	-23.375	-23.375	-23.412	-23.471	-23.406	-23.374	-23.518	-23.408	-23.518	-23.442	-23.409	-23.447	-23.446	-23.450	-23.372	-23.372	-23.370	-23.407	-138.264	-138.391	-138.475	-138.263	-138.480	-138.433	-138.401	-138.398	-138.410	-138.371	-138.333	-138.297	-138.376	-138.372	-138.331	-138.331	-138.263	-138.328	-138.340	-138.296	-138.297	-138.260	-138.297	-138.230	-138.266	-138.299	-138.311	-138.192	-138.296	-138.331	-138.262	-138.338	259.997	260.055	260.035	260.015	259.991	260.002	260.015	260.028	260.015	260.027	260.022	259.991	260.040	260.041	260.051	260.051	260.031	260.012	260.039	260.049	259.991	260.032	259.991	260.017	260.033	260.020	260.021	260.011	260.050	260.052	260.048	260.038	2016_7_15_16_08_38
F2LS38TUGRXL____	-23.445	-23.333	-23.377	-23.401	-23.573	-23.473	-23.437	-23.405	-23.438	-23.403	-23.401	-23.433	-23.369	-23.369	-23.371	-23.371	-23.367	-23.405	-23.369	-23.371	-23.433	-23.405	-23.433	-23.399	-23.365	-23.400	-23.402	-23.400	-23.398	-23.398	-23.398	-23.368	-138.457	-138.547	-138.559	-138.457	-138.650	-138.592	-138.559	-138.558	-138.569	-138.534	-138.491	-138.475	-138.537	-138.533	-138.468	-138.468	-138.456	-138.489	-138.501	-138.453	-138.475	-138.418	-138.475	-138.386	-138.422	-138.456	-138.499	-138.387	-138.475	-138.510	-138.440	-138.499	260.188	260.239	260.222	260.206	260.150	260.186	260.198	260.211	260.199	260.210	260.208	260.194	260.224	260.224	260.219	260.219	260.219	260.206	260.222	260.217	260.194	260.202	260.194	260.202	260.218	260.206	260.208	260.201	260.208	260.211	260.206	260.222	2016_7_15_16_08_41
F2LS3TKDHFM5____	-23.615	-23.509	-23.561	-23.583	-23.685	-23.648	-23.611	-23.576	-23.613	-23.579	-23.584	-23.650	-23.544	-23.544	-23.511	-23.511	-23.542	-23.608	-23.544	-23.542	-23.650	-23.578	-23.650	-23.579	-23.544	-23.549	-23.583	-23.584	-23.508	-23.510	-23.507	-23.509	-138.428	-138.519	-138.604	-138.391	-138.620	-138.566	-138.532	-138.533	-138.553	-138.510	-138.444	-138.430	-138.520	-138.487	-138.442	-138.442	-138.426	-138.464	-138.485	-138.428	-138.430	-138.393	-138.430	-138.359	-138.393	-138.435	-138.483	-138.322	-138.429	-138.465	-138.396	-138.480	259.969	260.018	260.002	259.979	259.954	259.965	259.978	259.992	259.978	259.989	259.982	259.955	260.004	260.001	260.011	260.011	259.998	259.974	260.001	259.998	259.955	259.981	259.955	259.979	259.995	259.996	259.985	259.974	260.012	260.013	260.010	260.015	2016_7_15_16_08_48
F2LS3MG9HFM5____	-23.760	-23.652	-23.714	-23.725	-23.831	-23.797	-23.759	-23.724	-23.759	-23.723	-23.724	-23.759	-23.689	-23.688	-23.687	-23.687	-23.719	-23.722	-23.689	-23.688	-23.759	-23.724	-23.759	-23.727	-23.691	-23.724	-23.723	-23.760	-23.653	-23.653	-23.654	-23.689	-138.257	-138.347	-138.432	-138.257	-138.431	-138.396	-138.363	-138.361	-138.363	-138.323	-138.294	-138.260	-138.326	-138.322	-138.294	-138.294	-138.256	-138.293	-138.292	-138.258	-138.260	-138.222	-138.260	-138.187	-138.223	-138.260	-138.290	-138.186	-138.259	-138.294	-138.226	-138.290	259.954	260.003	259.984	259.968	259.937	259.949	259.962	259.975	259.962	259.973	259.971	259.955	259.987	259.987	259.986	259.986	259.970	259.971	259.985	259.983	259.955	259.966	259.955	259.962	259.979	259.968	259.971	259.949	259.997	259.999	259.994	259.985	2016_7_15_16_08_51
F2LS3BDVGRXL____	-23.759	-23.640	-23.689	-23.709	-23.814	-23.778	-23.742	-23.708	-23.744	-23.675	-23.713	-23.747	-23.645	-23.640	-23.641	-23.641	-23.671	-23.707	-23.644	-23.642	-23.747	-23.676	-23.747	-23.705	-23.667	-23.712	-23.712	-23.709	-23.639	-23.608	-23.605	-23.672	-138.449	-138.540	-138.589	-138.447	-138.631	-138.583	-138.551	-138.552	-138.599	-138.560	-138.489	-138.452	-138.568	-138.563	-138.484	-138.484	-138.446	-138.485	-138.497	-138.446	-138.452	-138.411	-138.452	-138.378	-138.414	-138.453	-138.495	-138.377	-138.447	-138.483	-138.413	-138.490	260.629	260.684	260.667	260.650	260.620	260.631	260.644	260.657	260.646	260.671	260.651	260.635	260.684	260.685	260.679	260.679	260.665	260.653	260.679	260.676	260.635	260.660	260.635	260.647	260.664	260.649	260.652	260.645	260.678	260.693	260.689	260.667	2016_7_15_16_08_54
F2LS35BZHFM1____	-23.342	-23.236	-23.277	-23.305	-23.413	-23.375	-23.339	-23.304	-23.372	-23.304	-23.307	-23.341	-23.271	-23.269	-23.269	-23.269	-23.273	-23.304	-23.271	-23.270	-23.341	-23.305	-23.341	-23.304	-23.270	-23.307	-23.307	-23.303	-23.236	-23.235	-23.233	-23.270	-138.381	-138.501	-138.523	-138.381	-138.570	-138.520	-138.488	-138.489	-138.531	-138.462	-138.426	-138.414	-138.470	-138.464	-138.449	-138.449	-138.380	-138.448	-138.435	-138.385	-138.414	-138.349	-138.414	-138.349	-138.347	-138.418	-138.432	-138.311	-138.384	-138.450	-138.380	-138.430	260.072	260.122	260.108	260.087	260.056	260.068	260.080	260.094	260.070	260.093	260.089	260.074	260.106	260.107	260.106	260.106	260.100	260.092	260.104	260.101	260.074	260.085	260.074	260.085	260.098	260.089	260.090	260.083	260.115	260.120	260.116	260.104	2016_7_15_16_08_57
F2LS3HZVHFM5____	-22.786	-22.668	-22.713	-22.736	-22.842	-22.802	-22.769	-22.737	-22.770	-22.734	-22.750	-22.771	-22.702	-22.699	-22.699	-22.699	-22.704	-22.734	-22.704	-22.702	-22.771	-22.736	-22.771	-22.735	-22.699	-22.750	-22.736	-22.737	-22.635	-22.665	-22.664	-22.700	-138.386	-138.477	-138.526	-138.385	-138.566	-138.522	-138.490	-138.491	-138.501	-138.460	-138.495	-138.418	-138.469	-138.462	-138.453	-138.453	-138.383	-138.451	-138.434	-138.385	-138.418	-138.350	-138.418	-138.315	-138.350	-138.460	-138.430	-138.314	-138.386	-138.422	-138.351	-138.427	260.309	260.362	260.348	260.329	260.298	260.312	260.323	260.336	260.323	260.335	260.331	260.317	260.348	260.349	260.348	260.348	260.342	260.334	260.345	260.343	260.317	260.327	260.317	260.325	260.341	260.328	260.332	260.324	260.370	260.360	260.355	260.346	2016_7_15_16_08_59
F2LS339XHFM1____	-23.190	-23.096	-23.120	-23.156	-23.264	-23.228	-23.194	-23.161	-23.192	-23.159	-23.154	-23.189	-23.126	-23.123	-23.123	-23.123	-23.124	-23.158	-23.126	-23.125	-23.189	-23.159	-23.189	-23.156	-23.119	-23.153	-23.155	-23.154	-23.089	-23.088	-23.087	-23.123	-138.525	-138.648	-138.666	-138.526	-138.707	-138.665	-138.632	-138.635	-138.672	-138.602	-138.568	-138.532	-138.636	-138.632	-138.566	-138.566	-138.526	-138.568	-138.600	-138.528	-138.532	-138.493	-138.532	-138.457	-138.492	-138.533	-138.568	-138.455	-138.527	-138.593	-138.524	-138.568	260.143	260.189	260.181	260.157	260.125	260.137	260.148	260.162	260.152	260.160	260.160	260.144	260.176	260.177	260.172	260.172	260.170	260.158	260.174	260.169	260.144	260.153	260.144	260.152	260.169	260.158	260.160	260.153	260.184	260.188	260.184	260.173	2016_7_15_16_09_02
F2LS3HFRHFM5____	-23.369	-23.222	-23.269	-23.298	-23.401	-23.365	-23.327	-23.294	-23.329	-23.293	-23.298	-23.334	-23.258	-23.258	-23.259	-23.259	-23.261	-23.295	-23.227	-23.260	-23.334	-23.264	-23.334	-23.295	-23.261	-23.299	-23.297	-23.297	-23.195	-23.195	-23.194	-23.258	-138.429	-138.517	-138.571	-138.392	-138.583	-138.539	-138.534	-138.505	-138.514	-138.500	-138.438	-138.405	-138.505	-138.501	-138.459	-138.459	-138.394	-138.437	-138.442	-138.402	-138.405	-138.366	-138.405	-138.325	-138.360	-138.427	-138.444	-138.322	-138.402	-138.462	-138.368	-138.441	260.064	260.129	260.114	260.090	260.062	260.073	260.088	260.100	260.086	260.099	260.093	260.077	260.114	260.114	260.111	260.111	260.105	260.095	260.122	260.107	260.077	260.102	260.077	260.087	260.103	260.092	260.094	260.086	260.133	260.136	260.130	260.110	2016_7_15_16_09_05
F2LS3JESHFM5____	-23.346	-23.189	-23.270	-23.294	-23.402	-23.366	-23.331	-23.297	-23.331	-23.295	-23.297	-23.333	-23.263	-23.261	-23.263	-23.263	-23.263	-23.298	-23.263	-23.263	-23.333	-23.298	-23.333	-23.294	-23.259	-23.297	-23.296	-23.296	-23.196	-23.196	-23.226	-23.261	-138.469	-138.560	-138.610	-138.468	-138.643	-138.604	-138.571	-138.570	-138.574	-138.535	-138.504	-138.470	-138.540	-138.536	-138.503	-138.503	-138.467	-138.502	-138.506	-138.466	-138.470	-138.431	-138.470	-138.399	-138.434	-138.470	-138.505	-138.398	-138.467	-138.502	-138.432	-138.502	260.207	260.276	260.247	260.228	260.197	260.208	260.220	260.234	260.220	260.232	260.229	260.212	260.245	260.246	260.243	260.243	260.240	260.229	260.243	260.240	260.212	260.224	260.212	260.223	260.240	260.227	260.230	260.222	260.267	260.270	260.253	260.244	2016_7_15_16_09_08
F2LS3HFBHFM5____	-23.442	-23.315	-23.374	-23.413	-23.490	-23.454	-23.419	-23.383	-23.418	-23.383	-23.386	-23.420	-23.348	-23.348	-23.347	-23.347	-23.351	-23.384	-23.348	-23.347	-23.420	-23.383	-23.420	-23.384	-23.350	-23.386	-23.383	-23.385	-23.313	-23.314	-23.312	-23.348	-138.427	-138.514	-138.567	-138.390	-138.579	-138.536	-138.502	-138.502	-138.510	-138.470	-138.435	-138.422	-138.474	-138.471	-138.461	-138.461	-138.392	-138.434	-138.439	-138.398	-138.422	-138.363	-138.422	-138.360	-138.358	-138.426	-138.439	-138.321	-138.398	-138.458	-138.364	-138.437	260.035	260.092	260.071	260.044	260.026	260.037	260.049	260.063	260.050	260.061	260.058	260.043	260.076	260.075	260.075	260.075	260.069	260.059	260.073	260.071	260.043	260.054	260.043	260.053	260.067	260.057	260.059	260.050	260.085	260.089	260.083	260.073	2016_7_15_16_09_12
