SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-56.116	-56.219	-56.076	-56.180	-56.214	-56.214	-56.104	-56.146	-56.114	-56.114	-56.079	-56.181	-56.116	-56.173	-56.114	-56.046	-56.114	-56.114	-56.081	-56.046	-56.105	-56.116	-56.079	-56.080	-56.149	-56.013	-55.979	-56.079	-56.007	-56.121	-56.074	-56.121	141.063	141.097	140.919	141.038	140.990	141.022	141.065	140.956	141.098	141.060	141.092	141.133	141.100	141.069	141.098	141.096	141.098	141.098	141.137	141.023	141.128	141.132	141.092	141.201	141.098	141.144	140.992	141.092	141.071	141.126	141.144	141.126	111.515	111.546	111.521	111.540	111.559	111.554	111.510	111.540	111.509	111.514	111.498	111.528	111.509	111.534	111.509	111.485	111.509	111.509	111.492	111.496	111.502	111.505	111.498	111.483	111.521	111.467	111.476	111.498	111.475	111.507	111.489	111.507	2016_7_15_11_27_33
F2LS3EKPHFM2____	-56.060	-56.166	-56.032	-56.129	-56.158	-56.197	-56.062	-56.097	-56.153	-56.060	-56.010	-56.129	-56.061	-56.126	-56.056	-55.992	-56.153	-56.153	-56.028	-55.982	-56.054	-56.026	-56.010	-56.028	-56.100	-55.958	-55.922	-56.010	-55.942	-56.053	-56.021	-56.053	141.119	141.153	141.049	141.085	141.050	141.057	141.145	141.049	141.196	141.121	141.120	141.188	141.154	141.093	141.125	141.188	141.196	141.196	141.187	141.053	141.189	141.188	141.120	141.262	141.185	141.227	141.049	141.120	141.129	141.155	141.157	141.155	111.717	111.749	111.717	111.746	111.761	111.774	111.714	111.740	111.739	111.717	111.699	111.731	111.712	111.744	111.715	111.683	111.739	111.739	111.696	111.699	111.705	111.695	111.699	111.686	111.722	111.666	111.678	111.699	111.674	111.709	111.698	111.709	2016_7_15_11_27_38
F2LS3KLTHFM5____	-56.194	-56.297	-56.156	-56.267	-56.291	-56.300	-56.190	-56.228	-56.193	-56.194	-56.160	-56.263	-56.274	-56.262	-56.193	-56.123	-56.193	-56.193	-56.159	-56.126	-56.190	-56.159	-56.160	-56.158	-56.228	-56.171	-56.057	-56.160	-56.084	-56.188	-56.155	-56.188	141.091	141.093	140.958	141.056	140.990	141.055	141.064	140.990	141.096	141.060	141.122	141.128	141.073	141.065	141.096	141.125	141.096	141.096	141.126	141.056	141.131	141.130	141.122	141.195	141.097	141.111	141.025	141.122	141.065	141.095	141.097	141.095	111.672	111.708	111.678	111.703	111.721	111.715	111.675	111.699	111.671	111.677	111.656	111.691	111.703	111.700	111.671	111.643	111.671	111.671	111.655	111.653	111.665	111.655	111.656	111.645	111.684	111.661	111.633	111.656	111.637	111.670	111.658	111.670	2016_7_15_11_27_42
F2LS3SMLHFM5____	-56.109	-56.212	-56.075	-56.175	-56.216	-56.217	-56.103	-56.144	-56.108	-56.111	-56.069	-56.175	-56.107	-56.175	-56.108	-56.036	-56.108	-56.108	-56.072	-56.037	-56.110	-56.069	-56.069	-56.069	-56.143	-56.002	-55.970	-56.069	-55.998	-56.113	-56.068	-56.113	141.162	141.203	141.051	141.140	141.095	141.126	141.165	141.063	141.201	141.161	141.198	141.237	141.201	141.170	141.201	141.198	141.201	141.201	141.201	141.123	141.229	141.233	141.198	141.297	141.200	141.243	141.096	141.198	141.173	141.190	141.210	141.190	111.742	111.772	111.745	111.768	111.788	111.785	111.739	111.768	111.736	111.742	111.723	111.755	111.736	111.764	111.736	111.711	111.736	111.736	111.723	111.722	111.733	111.718	111.723	111.709	111.748	111.693	111.702	111.723	111.701	111.739	111.721	111.739	2016_7_15_11_27_46
F2LS38TUGRXL____	-55.939	-56.084	-55.947	-56.053	-56.089	-56.051	-55.985	-55.983	-55.983	-55.993	-55.950	-56.053	-55.982	-56.053	-55.983	-55.914	-55.983	-55.983	-55.945	-55.905	-55.979	-55.948	-55.950	-55.949	-56.019	-55.836	-55.842	-55.950	-55.880	-55.980	-55.943	-55.980	141.188	141.192	141.090	141.154	141.121	141.153	141.187	141.111	141.193	141.217	141.249	141.258	141.193	141.191	141.193	141.256	141.193	141.193	141.196	141.126	141.214	141.257	141.249	141.358	141.193	141.258	141.126	141.249	141.225	141.222	141.191	141.222	111.703	111.754	111.720	111.748	111.765	111.747	111.719	111.729	111.718	111.718	111.699	111.734	111.718	111.743	111.718	111.685	111.718	111.718	111.704	111.700	111.714	111.697	111.699	111.683	111.731	111.658	111.678	111.699	111.678	111.713	111.704	111.713	2016_7_15_11_27_50
F2LS3TKDHFM5____	-55.858	-56.048	-55.863	-55.933	-56.012	-56.004	-55.901	-55.929	-55.905	-55.908	-55.869	-55.963	-55.899	-55.972	-55.905	-55.792	-55.905	-55.905	-55.828	-55.834	-55.861	-55.869	-55.869	-55.829	-55.941	-55.801	-55.726	-55.869	-55.787	-55.885	-55.864	-55.885	141.214	141.261	141.114	141.221	141.180	141.213	141.249	141.148	141.288	141.247	141.281	141.289	141.218	141.253	141.288	141.285	141.288	141.288	141.285	141.217	141.312	141.283	141.281	141.386	141.285	141.331	141.182	141.281	141.221	141.247	141.257	141.247	111.581	111.641	111.597	111.606	111.640	111.633	111.591	111.615	111.587	111.594	111.576	111.608	111.595	111.616	111.587	111.548	111.587	111.587	111.561	111.572	111.569	111.575	111.576	111.547	111.600	111.545	111.539	111.576	111.555	111.586	111.577	111.586	2016_7_15_11_27_54
F2LS3MG9HFM5____	-55.952	-56.014	-55.873	-55.935	-56.013	-55.973	-55.862	-55.904	-55.907	-55.910	-55.872	-55.936	-55.908	-55.933	-55.907	-55.836	-55.907	-55.907	-55.872	-55.837	-55.864	-55.833	-55.872	-55.872	-55.903	-55.801	-55.727	-55.872	-55.753	-55.872	-55.871	-55.872	141.180	141.258	141.067	141.144	141.107	141.136	141.174	141.103	141.212	141.175	141.210	141.243	141.210	141.177	141.212	141.210	141.212	141.212	141.211	141.138	141.239	141.239	141.210	141.314	141.208	141.250	141.100	141.210	141.182	141.238	141.251	141.238	111.654	111.665	111.642	111.654	111.686	111.668	111.624	111.648	111.634	111.640	111.622	111.640	111.635	111.648	111.634	111.609	111.634	111.634	111.622	111.620	111.615	111.604	111.622	111.608	111.633	111.592	111.586	111.622	111.584	111.618	111.616	111.618	2016_7_15_11_27_58
F2LS3BDVGRXL____	-55.824	-55.888	-55.786	-55.891	-55.926	-55.923	-55.820	-55.860	-55.825	-55.824	-55.784	-55.891	-55.822	-55.890	-55.825	-55.751	-55.825	-55.825	-55.786	-55.748	-55.780	-55.786	-55.784	-55.784	-55.861	-55.717	-55.681	-55.784	-55.711	-55.791	-55.785	-55.791	141.227	141.221	141.090	141.163	141.122	141.154	141.195	141.123	141.262	141.194	141.260	141.264	141.231	141.198	141.262	141.264	141.262	141.262	141.233	141.163	141.259	141.266	141.260	141.328	141.261	141.274	141.130	141.260	141.200	141.247	141.266	141.247	111.611	111.635	111.617	111.644	111.662	111.656	111.614	111.638	111.607	111.616	111.593	111.630	111.610	111.639	111.607	111.581	111.607	111.607	111.597	111.594	111.592	111.593	111.593	111.583	111.620	111.567	111.574	111.593	111.575	111.597	111.592	111.597	2016_7_15_11_28_02
F2LS35BZHFM1____	-56.134	-56.282	-56.147	-56.208	-56.243	-56.245	-56.142	-56.177	-56.178	-56.178	-56.144	-56.247	-56.175	-56.212	-56.178	-56.110	-56.178	-56.178	-56.140	-56.067	-56.138	-56.143	-56.144	-56.144	-56.212	-56.077	-56.002	-56.144	-56.034	-56.137	-56.136	-56.137	141.072	141.113	141.006	141.035	141.002	141.039	141.067	140.999	141.108	141.073	141.133	141.143	141.076	141.073	141.108	141.140	141.108	141.108	141.073	141.039	141.137	141.144	141.133	141.213	141.074	141.174	141.040	141.133	141.077	141.104	141.076	141.104	111.519	111.565	111.533	111.550	111.567	111.562	111.523	111.544	111.529	111.534	111.514	111.549	111.533	111.546	111.529	111.501	111.529	111.529	111.521	111.500	111.511	111.512	111.514	111.503	111.546	111.485	111.477	111.514	111.483	111.515	111.519	111.515	2016_7_15_11_28_06
F2LS3HZVHFM5____	-56.816	-56.926	-56.794	-56.930	-56.975	-56.917	-56.827	-56.906	-56.864	-56.865	-56.824	-56.895	-56.820	-56.927	-56.864	-56.755	-56.864	-56.777	-56.792	-56.791	-56.831	-56.834	-56.781	-56.792	-56.851	-56.714	-56.113	-56.781	-56.724	-56.830	-56.787	-56.830	140.758	140.826	140.727	140.773	140.766	140.759	140.800	140.726	140.800	140.756	140.838	140.953	140.834	140.809	140.800	140.870	140.800	140.832	140.870	140.777	140.893	140.899	140.834	140.971	140.836	140.876	140.754	140.834	140.837	140.856	140.876	140.856	111.868	111.897	111.865	111.906	111.923	111.904	111.867	111.905	111.879	111.886	111.860	111.868	111.859	111.900	111.879	111.831	111.879	111.844	111.844	111.857	111.855	111.855	111.845	111.830	111.870	111.816	111.622	111.845	111.825	111.859	111.841	111.859	2016_7_15_11_28_12
