SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2BJ4GRX5____	-0.11	-0.11	-0.109	-0.107	-0.111	-0.102	-0.105	-0.109	-0.107	-0.108	-0.11	-0.11	-0.107	-0.109	-0.112	-0.11	-0.11	-0.111	-0.109	-0.11	-0.108	-0.11	-0.11	-0.112	-0.15	-0.11	-0.11	-0.108	-0.11	-0.11	-0.109	-0.109	0.003	0.003	0.002	0.004	0.006	0.044	0.043	0.003	0.005	0.006	0.006	0.005	0.006	0.004	0.007	0.006	0.006	0.004	0.004	0.006	0.043	0.006	0.008	0.005	0.007	0.006	0.008	0.004	0.008	0.006	0.006	0.003	-0.671	-0.671	-0.671	-0.67	-0.672	-0.678	-0.679	-0.671	-0.67	-0.671	-0.672	-0.672	-0.67	-0.671	-0.672	-0.672	-0.672	-0.671	-0.671	-0.672	-0.681	-0.672	-0.673	-0.673	-0.691	-0.672	-0.673	-0.671	-0.673	-0.672	-0.671	-0.67	-0.11	0.009	-0.673	2016_7_13_18_33_13
FLQS2C6NGRX5____	-0.061	-0.062	-0.061	-0.064	-0.063	-0.06	-0.061	-0.025	-0.064	-0.065	-0.061	-0.062	-0.065	-0.063	-0.065	-0.061	-0.061	-0.063	-0.066	-0.066	-0.061	-0.066	-0.064	-0.063	-0.028	-0.066	-0.064	-0.023	-0.064	-0.061	-0.061	-0.066	-0.039	-0.043	-0.043	-0.044	-0.002	-0.003	-0.005	0.002	-0.044	-0.044	-0.035	-0.034	-0.002	-0.002	-0.04	-0.035	-0.035	-0.003	-0.003	-0.002	0	-0.002	-0.041	-0.035	-0.045	-0.002	-0.04	-0.038	-0.041	-0.035	-0.033	-0.001	-0.233	-0.233	-0.232	-0.233	-0.244	-0.243	-0.242	-0.227	-0.233	-0.234	-0.234	-0.235	-0.245	-0.244	-0.235	-0.234	-0.234	-0.244	-0.245	-0.246	-0.243	-0.246	-0.234	-0.236	-0.217	-0.246	-0.235	-0.215	-0.234	-0.234	-0.235	-0.246	-0.06	-0.024	-0.237	2016_7_13_18_33_18
FLQS2C9EGRX5____	0.049	0.046	0.006	0.008	0.051	0.049	0.051	0.009	0.049	0.007	0.048	0.051	0.051	0.047	0.009	0.048	0.048	0.049	0.05	0.049	0.05	0.049	0.049	0.05	0.052	0.049	0.049	0.049	0.049	0.048	0.049	0.05	-0.008	0.036	-0.005	0.038	0.039	0.032	0.095	-0.004	0.043	-0.007	0.034	0.04	-0.003	0.037	0.039	0.034	0.034	0.039	0.039	0.04	0.038	0.04	0.041	0.039	0.04	0.04	0.039	0.036	0.041	0.034	0.036	0.039	0.194	0.181	0.174	0.163	0.183	0.185	0.169	0.175	0.182	0.175	0.183	0.183	0.194	0.182	0.164	0.183	0.183	0.182	0.183	0.182	0.183	0.182	0.182	0.183	0.183	0.182	0.182	0.183	0.182	0.183	0.183	0.183	0.043	0.033	0.181	2016_7_13_18_33_23
FLQS2CKUGRX5	0.001	0.003	0.002	-0.001	0.001	0.004	0	0.001	-0.035	0	0.002	0.002	-0.037	-0.035	0.001	0.002	0.002	0	-0.033	-0.033	-0.034	-0.033	0.003	0.001	0.001	-0.033	0.002	0.001	0.003	0.002	0.002	-0.035	0.003	-0.037	-0.038	0	-0.037	0.002	-0.038	-0.038	-0.004	-0.038	0.001	-0.037	-0.039	-0.002	0	0.001	0.001	-0.006	-0.003	-0.002	-0.001	-0.002	0	-0.038	0.001	-0.002	-0.001	0	0	0.001	0	-0.002	-0.099	-0.088	-0.088	-0.099	-0.088	-0.098	-0.088	-0.089	-0.113	-0.089	-0.098	-0.088	-0.106	-0.115	-0.098	-0.098	-0.098	-0.098	-0.114	-0.114	-0.115	-0.114	-0.098	-0.088	-0.098	-0.114	-0.097	-0.098	-0.098	-0.098	-0.098	-0.114	-0.009	-0.011	-0.1	2016_7_13_18_33_28
FLQS2F0LGRX5____	0.114	0.079	0.08	0.082	0.115	0.08	0.079	0.08	0.118	0.08	0.116	0.08	0.115	0.119	0.081	0.116	0.116	0.079	0.117	0.08	0.117	0.08	0.08	0.08	0.081	0.08	0.081	0.079	0.08	0.116	0.08	0.117	-0.099	-0.102	-0.102	-0.065	-0.102	-0.1	-0.101	-0.103	-0.061	-0.102	-0.1	-0.102	-0.099	-0.059	-0.103	-0.1	-0.1	-0.103	-0.101	-0.067	-0.068	-0.067	-0.066	-0.105	-0.066	-0.067	-0.067	-0.065	-0.066	-0.1	-0.102	-0.102	0.514	0.498	0.498	0.49	0.515	0.498	0.498	0.499	0.505	0.498	0.514	0.499	0.515	0.506	0.499	0.514	0.514	0.498	0.515	0.489	0.506	0.489	0.489	0.5	0.489	0.489	0.49	0.488	0.489	0.514	0.498	0.516	0.094	-0.088	0.501	2016_7_13_18_33_34
FLQS30AEGRWV____	0.043	0.005	0.005	-0.037	0.004	0.002	0.002	0.003	-0.034	0.005	0.004	0.004	0.046	0.046	0.045	0.004	0.004	0.004	0.005	0.003	0.045	0.003	0.003	0.005	0.004	0.003	0.047	0.002	0.003	0.004	0.004	0.002	0.002	0.002	0.001	0.003	0.002	-0.034	-0.036	0.002	0.002	-0.04	-0.036	-0.038	0	-0.036	0.001	-0.036	-0.036	0	-0.036	-0.036	-0.002	-0.036	0.002	0	-0.038	-0.036	0.001	0.001	0.002	-0.036	-0.04	-0.039	0.626	0.608	0.608	0.588	0.608	0.616	0.617	0.607	0.59	0.619	0.617	0.617	0.627	0.637	0.627	0.617	0.617	0.608	0.618	0.617	0.627	0.617	0.608	0.608	0.618	0.617	0.628	0.607	0.608	0.617	0.619	0.618	0.009	-0.018	0.615	2016_7_13_18_33_38
FLQS30BJGRWV____	-0.02	-0.019	-0.019	-0.017	-0.017	-0.019	-0.056	-0.017	-0.056	-0.018	-0.056	-0.018	-0.016	-0.055	-0.017	-0.056	-0.056	-0.056	-0.056	-0.055	-0.056	-0.055	-0.055	-0.056	-0.056	-0.055	-0.015	-0.018	-0.055	-0.056	-0.019	-0.017	0.004	0.006	0.005	0.004	0.004	0.005	0	0.004	0.001	0.002	0.002	0.004	0.004	0.004	0.004	0.002	0.002	0.003	0.001	0.001	0.002	0.001	0.002	0.001	0.002	0.001	0.004	0.004	0.002	0.002	0.003	0.003	-0.081	-0.081	-0.081	-0.08	-0.079	-0.081	-0.097	-0.08	-0.097	-0.079	-0.098	-0.08	-0.08	-0.097	-0.08	-0.098	-0.098	-0.098	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.097	-0.079	-0.081	-0.097	-0.098	-0.081	-0.08	-0.038	0.003	-0.089	2016_7_13_18_33_43
FLQS30BWGRWY____	0.008	0.008	0.008	0.007	0.008	0.008	0.004	0.009	0.009	0.009	0.009	0.009	0.007	0.008	0.009	0.009	0.009	0.009	0.011	0.01	0.006	0.01	0.009	0.009	0.008	0.01	0.009	0.006	0.009	0.009	0.007	0.008	-0.055	-0.051	-0.014	-0.054	-0.054	-0.016	-0.11	-0.052	-0.013	-0.014	-0.054	-0.054	-0.052	-0.052	-0.051	-0.054	-0.054	-0.052	-0.014	-0.053	-0.052	-0.053	-0.012	-0.014	-0.014	-0.053	-0.013	-0.013	-0.012	-0.054	-0.055	-0.055	0.035	0.033	0.024	0.034	0.035	0.024	0.047	0.034	0.024	0.025	0.035	0.034	0.034	0.034	0.034	0.035	0.035	0.034	0.026	0.035	0.033	0.035	0.025	0.025	0.024	0.035	0.025	0.023	0.025	0.035	0.034	0.035	0.008	-0.041	0.031	2016_7_13_18_33_48
FLQS30CMGRWQ____	0.066	0.021	0.023	0.021	0.061	0.063	0.064	0.019	0.064	0.019	0.066	0.064	0.065	0.065	0.02	0.066	0.066	0.067	0.066	0.066	0.066	0.066	0.068	0.019	0.021	0.066	0.066	0.026	0.068	0.066	0.022	0.02	-0.043	-0.043	-0.007	-0.047	-0.044	-0.046	-0.044	-0.044	-0.045	-0.045	-0.042	-0.042	-0.042	-0.043	-0.046	-0.042	-0.042	-0.045	-0.043	-0.044	-0.045	-0.044	-0.045	-0.045	-0.045	-0.044	-0.044	-0.009	-0.045	-0.042	-0.045	-0.045	-0.075	-0.096	-0.104	-0.096	-0.077	-0.076	-0.076	-0.096	-0.075	-0.096	-0.075	-0.076	-0.075	-0.075	-0.095	-0.075	-0.075	-0.074	-0.075	-0.075	-0.075	-0.075	-0.074	-0.097	-0.095	-0.075	-0.075	-0.103	-0.074	-0.075	-0.095	-0.096	0.05	-0.042	-0.083	2016_7_13_18_33_52
FLQS30D5GRWQ____	-0.022	-0.021	-0.021	-0.022	-0.021	-0.019	-0.019	-0.02	-0.021	-0.02	-0.02	-0.02	-0.02	-0.019	-0.018	-0.02	-0.02	0.02	-0.017	-0.018	-0.018	-0.018	-0.019	-0.018	0.023	-0.018	-0.058	-0.02	-0.019	-0.02	-0.018	-0.017	0.002	0.002	0.002	-0.031	0.004	0.005	0.005	0.005	-0.033	0.005	0.002	-0.034	0.002	0.004	-0.034	0.002	0.002	0.007	0.005	0.006	0.004	0.006	0.006	-0.033	0.006	0.006	0.003	-0.032	0.006	0.002	0.044	0.007	0.51	0.51	0.51	0.518	0.51	0.51	0.51	0.509	0.519	0.509	0.511	0.52	0.511	0.511	0.521	0.511	0.511	0.528	0.511	0.511	0.511	0.511	0.51	0.52	0.53	0.511	0.493	0.52	0.51	0.511	0.5	0.511	-0.018	-0.001	0.513	2016_7_13_18_33_57
